slot_id,slot_width,mac,desc,isiot,ethlen,ethsum,ethstd,remote_ip,avg_ttl,tcp_udp_ratio,ports,tcpts_skew,max_winds,udns,dns,avg_ua
1546731749.18,120,08:62:66:b2:82:d4,Asus ZenPad,0,6,606,35.16352922371662,1,64.0,1.0,1,41781.17659099419,1386,0,0,
1546731749.18,120,e0:94:67:31:ab:f0,lenovo laptop,0,177,33732,1.1590959575487563,16,122.16091954,0.333333333333,6,,65535,1,1,
1546731749.18,120,dc:0b:34:f2:20:42,LG G3,0,2,163,0.0,1,64.0,1.0,1,,790,0,0,
1546731749.18,120,34:e6:ad:29:64:8b,Dell laptop,0,75,20313,2.1001774074044324,5,44.4931506849,0.333333333333,3,,17520,2,2,
1546731749.18,120,5c:70:a3:61:5a:04,nexus 5x,0,85,24443,5.695224214385674,4,64.0,0.5,4,10709222.962339375,65535,1,1,
1546731834.4,60,f4:f5:e8:57:86:a6,Chromecast,1,41,7978,1.4336706092638032,7,64.0,0.5,4,0.013179740123199958,403,3,4,
1546731834.4,60,08:62:66:b2:82:d4,Asus ZenPad,0,1,101,nan,1,64.0,1.0,1,,1386,0,0,
1546731834.4,60,e0:94:67:31:ab:f0,lenovo laptop,0,81,16585,1.292754320354011,12,128.0,0.4,5,,17520,1,1,
1546731834.4,60,dc:0b:34:f2:20:42,LG G3,0,8,605,5.56983991137455,3,64.0,1.0,2,19.021278392698317,1249,0,0,
1546731834.4,60,34:e6:ad:29:64:8b,Dell laptop,0,33,8069,1.9545044534025873,5,29.6774193548,0.333333333333,3,,68,1,1,
1546731834.4,60,5c:70:a3:61:5a:04,nexus 5x,0,7,450,4.406313304961199,1,64.0,1.0,1,0.7659252724331049,395,0,0,
1546731894.55,60,f4:f5:e8:57:86:a6,Chromecast,1,46,9613,1.757946975042117,7,114.933333333,0.333333333333,6,,403,2,3,
1546731894.55,60,08:62:66:b2:82:d4,Asus ZenPad,0,1,101,nan,1,64.0,1.0,1,,1386,0,0,
1546731894.55,60,e0:94:67:31:ab:f0,lenovo laptop,0,93,15692,1.1380331084975486,14,116.956521739,0.333333333333,6,,17520,1,2,
1546731894.55,60,dc:0b:34:f2:20:42,LG G3,0,1,42,nan,0,,0,0,,,0,0,
1546731894.55,60,34:e6:ad:29:64:8b,Dell laptop,0,38,9224,2.068431325988366,3,43.3333333333,0.333333333333,3,,17520,2,3,
1546731894.55,60,5c:70:a3:61:5a:04,nexus 5x,0,159,20098,0.9886004829200475,11,64.0,0.5,2,13858960.405874947,65535,5,5,
